machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC06,CAM-009,CAM-009集合,1199231-10,Y8470133R,2025-11-17,1200.0,0,GC12,"{datetime.datetime(2025, 11, 18, 0, 0): 600, datetime.datetime(2025, 11, 19, 0, 0): 600}",8
GC06,CN-SNDFJ0CJ,770AMAIN,1199790-10,Y8470811R,2025-11-19,400.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199966-10,Y8470811R,2025-11-20,400.0,0,GC03,"{datetime.datetime(2025, 11, 20, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199967-10,Y8470811R,2025-11-20,400.0,0,GC03,"{datetime.datetime(2025, 11, 20, 0, 0): 175, datetime.datetime(2025, 11, 21, 0, 0): 225}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199968-10,Y8470811R,2025-11-20,400.0,0,GC03,"{datetime.datetime(2025, 11, 21, 0, 0): 400}",1
GC06,CAM-009,CAM-009集合,1199723-10,Y8470133R,2025-11-25,1200.0,0,GC12,"{datetime.datetime(2025, 11, 25, 0, 0): 1200}",8
GC06,CN-SNDFJ0CJ,770AMAIN,1199969-10,Y8470811R,2025-11-26,400.0,0,GC03,"{datetime.datetime(2025, 11, 26, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199970-10,Y8470811R,2025-11-26,400.0,0,GC03,"{datetime.datetime(2025, 11, 26, 0, 0): 30, datetime.datetime(2025, 11, 27, 0, 0): 370}",1
GC06,CAM-009,CAM-009集合,1199896-10,Y8470133R,2025-12-02,1200.0,0,GC12,"{datetime.datetime(2025, 12, 2, 0, 0): 1200}",8
GC06,NXR-G240,KUMQUAT MAIN,1199478-10,Y8470171R,2025-12-02,100.0,0,GT05,"{datetime.datetime(2025, 12, 3, 0, 0): 100}",1
GC06,NXR-G240,KUMQUAT MAIN,1199481-10,Y8470171R,2025-12-02,50.0,0,GT05,"{datetime.datetime(2025, 12, 3, 0, 0): 50}",1
GC06,NXR-G240,KUMQUAT MAIN,1199478-20,Y8470171R,2025-12-02,100.0,0,GT05,"{datetime.datetime(2025, 12, 3, 0, 0): 100}",1
GC06,NXR-G240,KUMQUAT MAIN,1199481-20,Y8470171R,2025-12-02,50.0,0,GT05,"{datetime.datetime(2025, 12, 3, 0, 0): 50}",1
GC06,NXR-G240/L,KUMQUAT MAIN,1199377-10,Y8470174R,2025-12-05,1.0,0,GT05,"{datetime.datetime(2025, 12, 5, 0, 0): 1}",1
